Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
91,tt1588173,2017-01-19,2017-01-19,,Warm Bodies,https://www.imdb.com/title/tt1588173/,movie,6.9,98,2013,"Comedy, Horror, Romance",209476,2013-01-16,Jonathan Levine
92,tt3569970,2017-01-19,2017-01-19,,Attack of the Lederhosen Zombies,https://www.imdb.com/title/tt3569970/,movie,4.5,78,2016,"Comedy, Horror",1364,2016-04-04,Dominik Hartl
93,tt1881002,2017-01-19,2017-01-19,,Maggie,https://www.imdb.com/title/tt1881002/,movie,5.6,95,2015,"Drama, Horror",38946,2015-04-22,Henry Hobson
94,tt2526898,2017-01-19,2017-01-19,,Cannon Fodder,https://www.imdb.com/title/tt2526898/,movie,4.1,93,2013,"Action, Horror",192,2013-05-10,Eitan Gafny
95,tt1191971,2017-01-19,2017-01-19,,Zone of the Dead,https://www.imdb.com/title/tt1191971/,movie,4.0,101,2009,"Action, Horror, Sci-Fi",2970,2009-02-22,"Milan Todorovic, Milan Konjevic"
96,tt2236182,2017-01-19,2017-01-19,,Rise of the Zombies,https://www.imdb.com/title/tt2236182/,movie,4.0,89,2012,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",3016,2012-10-08,Nick Lyon
97,tt2082152,2017-01-19,2017-01-19,,13 Eerie,https://www.imdb.com/title/tt2082152/,movie,4.5,87,2013,"Horror, Sci-Fi",2475,2013-03-29,Lowell Dean
98,tt2581244,2017-01-19,2017-01-19,,Life After Beth,https://www.imdb.com/title/tt2581244/,movie,5.6,89,2014,"Comedy, Fantasy, Horror, Romance",18137,2014-01-19,Jeff Baena
99,tt2140429,2017-01-19,2017-01-19,,Stalled,https://www.imdb.com/title/tt2140429/,movie,4.7,84,2013,"Comedy, Horror",1755,2013-07-19,Christian James
100,tt3950908,2017-01-19,2017-01-19,,Anger of the Dead,https://www.imdb.com/title/tt3950908/,movie,3.0,84,2015,"Drama, Horror",634,2015-02-21,Francesco Picone
101,tt1916763,2017-01-19,2017-01-19,,Zombex,https://www.imdb.com/title/tt1916763/,movie,2.2,81,2013,"Horror, Sci-Fi, Thriller",582,2013-10-26,Jesse Dayton
102,tt4814760,2017-01-19,2017-01-19,,Here Alone,https://www.imdb.com/title/tt4814760/,movie,5.6,98,2016,"Drama, Horror, Sci-Fi, Thriller",5505,2016-04-15,Rod Blackhurst
103,tt2340888,2017-01-19,2017-01-19,,Survivors,https://www.imdb.com/title/tt2340888/,movie,5.6,92,2015,"Drama, Horror, Thriller",98,2015-10-18,Adam Spinks
104,tt0926063,2017-01-19,2017-01-19,,Dance of the Dead,https://www.imdb.com/title/tt0926063/,movie,5.8,87,2008,"Comedy, Horror",10871,2008-03-09,Gregg Bishop
105,tt3949586,2017-01-19,2017-01-19,,Plague,https://www.imdb.com/title/tt3949586/,movie,5.4,84,2015,"Drama, Horror, Sci-Fi",2263,2015-05-12,"Kosta Ouzas, Nick Kozakis"
106,tt0378417,2017-01-19,2017-01-19,,Die Nacht der lebenden Loser,https://www.imdb.com/title/tt0378417/,movie,5.7,89,2004,"Comedy, Horror",2557,2004-11-04,Matthias Dinter
107,tt5108168,2017-01-19,2017-01-19,,Isle of the Dead,https://www.imdb.com/title/tt5108168/,movie,5.1,90,2016,"Action, Horror",1185,2016-08-18,Nick Lyon
108,tt1650042,2017-01-19,2017-01-19,,Dead Season,https://www.imdb.com/title/tt1650042/,movie,4.8,85,2012,"Horror, Sci-Fi",2976,2012-05-15,Adam Deyoe
109,tt1336601,2017-01-19,2017-01-19,,La meute,https://www.imdb.com/title/tt1336601/,movie,4.8,84,2010,Horror,2002,2010-05-17,Franck Richard
110,tt0780645,2017-01-19,2017-01-19,,War of the Dead,https://www.imdb.com/title/tt0780645/,movie,4.1,86,2011,"Action, Adventure, Horror, Sci-Fi, Thriller, War",2387,2011-10-22,Marko Mäkilaakso
111,tt2113792,2017-01-19,2017-01-19,,The Demented,https://www.imdb.com/title/tt2113792/,movie,3.8,92,2013,"Horror, Sci-Fi",1773,2013-07-30,Christopher Roosevelt
112,tt2446502,2017-01-19,2017-01-19,,Zombie Hunter,https://www.imdb.com/title/tt2446502/,movie,3.5,93,2013,"Action, Comedy, Horror",2385,2013-07-26,K. King
113,tt5340882,2017-01-19,2017-01-19,,Zoombies,https://www.imdb.com/title/tt5340882/,movie,3.4,87,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1925,2016-03-01,Glenn Miller
114,tt0411805,2017-01-19,2017-01-19,,Return of the Living Dead: Necropolis,https://www.imdb.com/title/tt0411805/,movie,3.2,88,2005,"Action, Comedy, Horror, Sci-Fi",4406,2005-10-15,Ellory Elkayem
115,tt0489244,2017-01-19,2017-01-19,,Night of the Living Dead 3D,https://www.imdb.com/title/tt0489244/,movie,3.1,80,2006,Horror,3224,2006-09-08,Jeff Broadstreet
116,tt2081438,2017-01-19,2017-01-19,,Zombie Massacre,https://www.imdb.com/title/tt2081438/,movie,2.3,87,2013,"Action, Horror, Sci-Fi",1644,2013-07-01,"Luca Boni, Marco Ristori"
117,tt4117510,2017-01-19,2017-01-19,,Zombie Massacre 2: Reich of the Dead,https://www.imdb.com/title/tt4117510/,movie,2.5,84,2015,"Horror, War",514,2015-06-08,"Luca Boni, Marco Ristori"
118,tt0317676,2017-01-19,2017-01-19,,House of the Dead,https://www.imdb.com/title/tt0317676/,movie,2.0,90,2003,"Action, Adventure, Horror",34808,2003-02-15,Uwe Boll
119,tt0435665,2017-01-19,2017-01-19,,House of the Dead 2,https://www.imdb.com/title/tt0435665/,tvMovie,3.8,95,2005,"Action, Comedy, Horror, Sci-Fi, Thriller",5430,2005-10-14,Michael Hurst
120,tt0816711,2017-01-19,2017-01-19,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",557031,2013-06-02,Marc Forster
121,tt3458254,2017-01-19,2017-01-19,,Patient Zero,https://www.imdb.com/title/tt3458254/,movie,4.4,93,2018,"Action, Drama, Horror, Sci-Fi",5916,2018-08-14,Stefan Ruzowitzky
122,tt1560220,2017-01-19,2017-01-19,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,,,2019,"Action, Comedy, Horror",,2019-10-10,Ruben Fleischer
123,tt2034176,2017-01-19,2017-01-19,,Redcon-1,https://www.imdb.com/title/tt2034176/,movie,4.7,115,2018,"Action, Horror, Thriller",2068,2018-09-07,Chee Keong Cheung
124,tt3463106,2017-01-19,2017-01-19,,The Cured,https://www.imdb.com/title/tt3463106/,movie,5.5,95,2017,"Drama, Horror, Sci-Fi",5834,2017-09-09,David Freyne
125,tt3977848,2017-01-19,2017-01-19,,Sky Sharks,https://www.imdb.com/title/tt3977848/,movie,,110,,"Comedy, Horror, Sci-Fi",,,Marc Fehse
126,tt3053228,2017-01-19,2017-01-19,,Day of the Dead: Bloodline,https://www.imdb.com/title/tt3053228/,movie,3.4,90,2018,Horror,8494,2018-01-05,Hèctor Hernández Vicens
127,tt5170778,2017-01-19,2017-01-19,,Strain 100,https://www.imdb.com/title/tt5170778/,movie,,,,"Adventure, Horror",,,Hassan Hussein
128,tt3976044,2017-01-19,2017-01-19,,Rebirth,https://www.imdb.com/title/tt3976044/,movie,,,,Horror,,,Roger Conners
129,tt1695897,2017-01-19,2017-01-19,,The Zombie Survival Guide,https://www.imdb.com/title/tt1695897/,movie,,,,"Drama, Horror, Sci-Fi",,,
130,tt2930828,2017-01-19,2017-01-19,,Cowboys vs. Zombies,https://www.imdb.com/title/tt2930828/,movie,2.8,85,2014,"Action, Horror",11,2014-12-31,Carmelo Follo
131,tt4998442,2017-01-19,2017-01-19,,Night of the Living Dead: Reloaded,https://www.imdb.com/title/tt4998442/,movie,,,,Horror,,,Michael A. Isaacs
132,tt2072077,2017-01-19,2017-01-19,,Dead Island,https://www.imdb.com/title/tt2072077/,movie,,,,Horror,,,
